wavelength,00:00:00.000,00:00:22.975,00:00:45.958,00:01:08.948,00:01:31.929,00:01:54.909,00:02:17.891,00:02:40.876,00:03:03.856,00:03:26.841,00:03:49.826,00:04:12.811,00:04:35.799,00:04:58.777,00:05:21.760,00:05:44.746,00:06:07.733,00:06:30.720,00:06:53.705,00:07:16.686,00:07:39.671,00:08:02.650,00:08:25.637,00:08:48.622,00:09:11.602,00:09:34.582,00:09:57.567,00:10:20.555,00:10:43.550,00:11:06.535
851,40.658234,40.606663,40.725533,40.699314,40.818779,40.791714,40.896118,40.833767,40.889866,40.788925,40.795227,40.782967,40.704487,40.80854,40.719204,40.682762,40.76405,40.642429,40.706608,40.691132,40.723377,40.545067,40.680241,40.506874,40.700684,40.522938,40.653301,40.711155,40.519821,40.550983
852,40.673836,40.627556,40.739811,40.708126,40.830917,40.810905,40.917713,40.852894,40.90659,40.806774,40.813625,40.800915,40.720528,40.82719,40.735523,40.698826,40.781212,40.661404,40.72139,40.710808,40.742367,40.558319,40.702518,40.519627,40.712543,40.541172,40.671398,40.726242,40.534328,40.568024
853,40.689468,40.645374,40.752327,40.718102,40.84243,40.827084,40.936916,40.869415,40.922668,40.823109,40.831047,40.817734,40.735554,40.846199,40.752384,40.713955,40.797817,40.680176,40.735703,40.727982,40.760147,40.57061,40.723812,40.534897,40.724792,40.55835,40.688442,40.741459,40.549122,40.584232
854,40.704544,40.656071,40.760685,40.730103,40.852188,40.836342,40.95039,40.879883,40.936779,40.835655,40.845757,40.831532,40.747871,40.865215,40.769714,40.726562,40.812599,40.697777,40.74847,40.739273,40.7747,40.580414,40.742195,40.554821,40.737366,40.572643,40.702606,40.756348,40.563915,40.598095
855,40.720173,40.667164,40.769356,40.74255,40.862305,40.845936,40.964352,40.890732,40.951412,40.84866,40.861,40.845829,40.760643,40.884926,40.787678,40.739628,40.827923,40.716019,40.761711,40.750969,40.789787,40.59058,40.76125,40.575474,40.750404,40.58746,40.717289,40.771786,40.579258,40.612465
856,40.736603,40.678627,40.778446,40.755211,40.87273,40.855759,40.978558,40.901722,40.966301,40.861973,40.876411,40.860432,40.773861,40.905109,40.806076,40.753063,40.843716,40.734695,40.775444,40.763149,40.80537,40.601173,40.780777,40.596405,40.763943,40.602543,40.732403,40.787716,40.595047,40.627106
857,40.760033,40.689426,40.790783,40.761219,40.881767,40.862129,40.98521,40.90559,40.973686,40.870579,40.880779,40.868774,40.786827,40.91851,40.818428,40.763771,40.857212,40.746967,40.78986,40.777107,40.819603,40.613678,40.794106,40.604095,40.778625,40.6101,40.744869,40.801872,40.607914,40.634865
858,40.784313,40.700626,40.803566,40.767445,40.891132,40.868732,40.992107,40.909607,40.981339,40.879505,40.885307,40.877426,40.800262,40.932392,40.831226,40.77486,40.871197,40.759686,40.804794,40.791576,40.834351,40.626637,40.807915,40.612061,40.793839,40.617939,40.757793,40.816547,40.621254,40.64291
859,40.809483,40.712227,40.816818,40.773899,40.900841,40.875572,40.999256,40.913761,40.989273,40.888756,40.889999,40.886395,40.81419,40.946789,40.844501,40.786358,40.885689,40.772865,40.820278,40.806572,40.849644,40.640072,40.822227,40.620319,40.809612,40.62606,40.771183,40.831753,40.635082,40.651241
860,40.826229,40.720268,40.826328,40.784611,40.91029,40.887737,41.015514,40.924587,41.002872,40.901943,40.902859,40.900932,40.827328,40.958694,40.854012,40.79882,40.90377,40.78104,40.835758,40.819904,40.861797,40.646935,40.830818,40.628227,40.825214,40.634007,40.782688,40.843098,40.648392,40.663792
861,40.840107,40.727112,40.834606,40.797218,40.919857,40.902233,41.035664,40.938232,41.01897,40.916958,40.919163,40.917965,40.840462,40.96991,40.862289,40.811939,40.923656,40.787476,40.851593,40.832901,40.873016,40.651417,40.837399,40.636189,40.84111,40.642071,40.793736,40.853214,40.661808,40.678253
862,40.854504,40.734215,40.843197,40.810295,40.929783,40.917274,41.056564,40.952389,41.035671,40.932529,40.936073,40.935631,40.854088,40.981548,40.87088,40.825554,40.944275,40.794147,40.868023,40.84639,40.884663,40.656067,40.844227,40.644444,40.857605,40.650436,40.805187,40.863708,40.675724,40.69326
863,40.867355,40.738075,40.851624,40.819977,40.938522,40.930183,41.072525,40.962772,41.050591,40.94371,40.949665,40.949665,40.866482,40.993176,40.880543,40.837032,40.958984,40.80175,40.881485,40.854645,40.895206,40.662098,40.850029,40.649319,40.870003,40.656445,40.815697,40.87455,40.682926,40.703854
864,40.877869,40.737366,40.859699,40.824791,40.945488,40.939957,41.081383,40.967754,41.062817,40.94862,40.958443,40.958443,40.87698,41.004623,40.891567,40.845387,40.96524,40.810539,40.890644,40.855518,40.904072,40.669964,40.854309,40.649422,40.87653,40.6591,40.824738,40.885738,40.680687,40.708176
865,40.888771,40.736633,40.868076,40.829781,40.952705,40.950092,41.090565,40.972923,41.075489,40.953705,40.967548,40.967548,40.887867,41.016499,40.902996,40.854042,40.971737,40.819649,40.900143,40.856422,40.913273,40.67812,40.858753,40.649532,40.883301,40.661854,40.834114,40.897335,40.67836,40.712658
866,40.89801,40.735512,40.876133,40.833519,40.959335,40.958599,41.099037,40.97768,41.087254,40.958748,40.975872,40.975574,40.897167,41.027439,40.913483,40.862213,40.97731,40.827442,40.909027,40.857903,40.921513,40.684464,40.863354,40.649029,40.889206,40.664501,40.841953,40.907665,40.676102,40.716579
867,40.893681,40.731884,40.880215,40.827721,40.960403,40.953968,41.100685,40.978512,41.090103,40.96236,40.976963,40.974384,40.893387,41.029476,40.915123,40.865185,40.9753,40.824371,40.911724,40.863068,40.92131,40.676769,40.868053,40.644382,40.887848,40.665821,40.837448,40.906925,40.674797,40.715729
868,40.889194,40.728127,40.884453,40.821705,40.96151,40.949162,41.102398,40.979382,41.093067,40.96611,40.978085,40.973145,40.889477,41.031586,40.916828,40.868271,40.973206,40.821186,40.91452,40.868431,40.921108,40.668789,40.872929,40.639561,40.886433,40.667191,40.832771,40.906155,40.673435,40.714855
869,40.884537,40.724224,40.888851,40.81546,40.962658,40.944176,41.104179,40.980286,41.096142,40.970009,40.979263,40.971867,40.88541,41.033787,40.918602,40.871475,40.971043,40.81789,40.917427,40.874001,40.920895,40.660507,40.877995,40.634556,40.884968,40.668617,40.827923,40.905361,40.672035,40.713943
870,40.895355,40.738842,40.892784,40.817863,40.969479,40.953144,41.115406,40.989861,41.108219,40.982693,40.989113,40.98418,40.889828,41.049713,40.927826,40.876923,40.977425,40.828865,40.927834,40.889179,40.92831,40.668068,40.890636,40.648033,40.89785,40.677242,40.836281,40.915936,40.685738,40.721394
871,40.909805,40.757862,40.896744,40.822178,40.977726,40.965363,41.129005,41.001575,41.122597,40.997646,41.001125,40.999783,40.896183,41.069065,40.938927,40.883026,40.985828,40.84322,40.940163,40.906879,40.93758,40.679237,40.905304,40.665863,40.914188,40.687672,40.847717,40.92926,40.703091,40.730858
872,40.924835,40.777649,40.900864,40.826664,40.986301,40.978069,41.14315,41.013767,41.13755,41.013203,41.013622,41.016006,40.902798,41.089199,40.950478,40.88937,40.994564,40.858154,40.952991,40.925297,40.94722,40.690857,40.920555,40.68441,40.931187,40.698521,40.859608,40.943119,40.721138,40.740704
873,40.937004,40.791344,40.906498,40.832943,40.996647,40.991016,41.153973,41.026642,41.151272,41.023762,41.026131,41.031879,40.913078,41.104778,40.962757,40.900074,41.010719,40.873211,40.964546,40.93877,40.961113,40.700771,40.935184,40.698128,40.949333,40.70797,40.871162,40.955929,40.733265,40.751625
874,40.946564,40.799461,40.913532,40.840866,41.008629,41.004192,41.161758,41.040165,41.163887,41.029747,41.038666,41.047455,40.926743,41.116192,40.975731,40.914795,41.033703,40.888405,40.974949,40.947708,40.978935,40.709141,40.949268,40.70742,40.968563,40.716148,40.882408,40.967796,40.739967,40.763554
875,40.956497,40.807899,40.920841,40.849106,41.021076,41.017883,41.169846,41.054211,41.176991,41.035965,41.051689,41.063629,40.940937,41.128048,40.989204,40.930084,41.057575,40.904186,40.98576,40.956997,40.997448,40.717834,40.96389,40.717075,40.988533,40.724644,40.894093,40.980125,40.746933,40.775944
876,40.96722,40.816299,40.927738,40.857265,41.033478,41.028828,41.179863,41.069057,41.188095,41.043182,41.065067,41.079224,40.953518,41.14064,41.001808,40.944866,41.080837,40.918922,40.996403,40.965927,41.014465,40.728916,40.977631,40.725605,41.005295,40.733414,40.905159,40.99324,40.754177,40.787746
877,40.979645,40.823826,40.932636,40.864437,41.044594,41.02956,41.195457,41.085224,41.19146,41.053082,41.078423,41.091438,40.95953,41.154556,41.010338,40.956573,41.099949,40.928833,41.005531,40.972836,41.024921,40.747017,40.987133,40.729565,41.009762,40.742317,40.91312,41.007812,40.7617,40.796516
